task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20250919_162500,BUY,2025-09-19 16:25:00+00:00,2025-09-19 16:30:00+00:00,2025-09-24 15:48:00+00:00,24571.52,24491.23,24889.28,24491.23,SL,0.15,-320.8862883750026,-80.016288375,-0.0,240.87000000000262,-1.332196987482871,49679.113711624996,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20250925_141500,BUY,2025-09-25 14:15:00+00:00,2025-09-25 14:20:00+00:00,2025-10-08 19:20:00+00:00,24370.809999999998,24186.13,25106.78,25106.78,TP,0.06,799.9470600900014,-83.21693990999998,-0.0,221.61599999999598,3.6096087831655472,50479.060771715,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251009_224000,BUY,2025-10-09 22:40:00+00:00,2025-10-09 22:46:00+00:00,2025-10-10 14:58:00+00:00,25133.899999999998,25053.48,25460.98,25053.48,SL,0.15,-241.25999999999476,0.0,-0.0,241.25999999999476,-1.0,50237.800771715,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251013_140000,BUY,2025-10-13 14:00:00+00:00,2025-10-13 14:06:00+00:00,2025-10-14 05:39:00+00:00,24733.53,24549.35,25443.75,24549.35,SL,0.07,-265.3201869150004,-7.468186915,-0.0,257.85200000000043,-1.028963075388207,49972.4805848,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251014_142000,BUY,2025-10-14 14:20:00+00:00,2025-10-14 14:26:00+00:00,2025-10-17 08:20:00+00:00,24526.03,24246.33,25595.83,24246.33,SL,0.04,-236.56260613999768,-12.80260614,-0.0,223.7599999999977,-1.0572157943332148,49735.91797866001,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251017_141000,BUY,2025-10-17 14:10:00+00:00,2025-10-17 14:16:00+00:00,2025-10-27 19:55:00+00:00,24790.78,24506.98,25796.33,25796.33,TP,0.04,761.7646462000023,-42.675353799999996,-0.0,227.03999999999942,3.355200168252309,50497.68262486001,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251028_140000,BUY,2025-10-28 14:00:00+00:00,2025-10-28 14:06:00+00:00,2025-10-28 20:28:00+00:00,25909.899999999998,25858.6,26082.35,26082.35,TP,0.28,965.7200000000041,0.0,-0.0,287.27999999999594,3.3615984405458708,51463.40262486001,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251029_143000,BUY,2025-10-29 14:30:00+00:00,2025-10-29 14:36:00+00:00,2025-10-29 16:10:00+00:00,26127.649999999998,26100.48,26269.83,26100.48,SL,0.37,-201.0579999999871,0.0,-0.0,201.0579999999871,-1.0,51262.34462486002,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251030_232000,BUY,2025-10-30 23:20:00+00:00,2025-10-30 23:26:00+00:00,2025-10-31 15:04:00+00:00,26028.78,25944.6,26394.6,25944.6,SL,0.14,-235.70400000000083,0.0,-0.0,235.70400000000083,-1.0,51026.640624860025,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251105_153000,BUY,2025-11-05 15:30:00+00:00,2025-11-05 15:36:00+00:00,2025-11-06 15:00:00+00:00,25585.77,25364.95,26395.3,25364.95,SL,0.06,-271.3853030699996,-6.40130307,-0.0,264.98399999999964,-1.0241573191966307,50755.25532179003,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251107_195500,BUY,2025-11-07 19:55:00+00:00,2025-11-07 20:00:00+00:00,2025-11-14 08:42:00+00:00,25009.8,24807.85,25812.35,24807.85,SL,0.06,-287.1491214900009,-44.809121489999995,-0.0,242.34000000000086,-1.1849018795493929,50468.106200300026,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251114_152500,BUY,2025-11-14 15:25:00+00:00,2025-11-14 15:30:00+00:00,2025-11-18 04:20:00+00:00,24919.219999999998,24531.85,26469.05,24531.85,SL,0.03,-245.22460613999937,-12.80260614,-0.0,232.42199999999937,-1.0550834522549501,50222.881594160026,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251119_150000,BUY,2025-11-19 15:00:00+00:00,2025-11-19 15:06:00+00:00,2025-11-19 17:33:00+00:00,24848.28,24491.6,26247.25,24491.6,SL,0.03,-214.00800000000018,0.0,-0.0,214.00800000000018,-1.0,50008.873594160024,False,False
