task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250919_164800_inv,SELL,2025-09-19 16:48:00+00:00,2025-09-19 16:50:00+00:00,2025-09-22 07:23:00+00:00,6651.78,6714.98,6638.13,6638.13,TP,0.08,51.64783003333188,-2.9521699666666668,-0.0,252.79999999999927,0.20430312513185137,50051.64783003333,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250922_143500_inv,SELL,2025-09-22 14:35:00+00:00,2025-09-22 14:36:00+00:00,2025-09-23 17:41:00+00:00,6667.92,6753.08,6646.63,6646.63,TP,0.05,52.6069730138888,-0.6180269861111111,-0.0,212.89999999999964,0.24709710199102342,50104.254803047224,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250925_154300_inv,SELL,2025-09-25 15:43:00+00:00,2025-09-25 15:44:00+00:00,2025-09-25 18:02:00+00:00,6619.2,6792.28,6575.93,6575.93,TP,0.02,43.26999999999953,0.0,-0.0,173.07999999999993,0.24999999999999736,50147.52480304722,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250930_162100_inv,SELL,2025-09-30 16:21:00+00:00,2025-09-30 16:22:00+00:00,2025-09-30 17:24:00+00:00,6664.13,6743.38,6644.63,6644.63,TP,0.06,58.5,0.0,-0.0,237.75,0.24605678233438485,50206.02480304722,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251001_143400_inv,SELL,2025-10-01 14:34:00+00:00,2025-10-01 14:36:00+00:00,2025-10-10 15:24:00+00:00,6683.88,6794.33,6654.08,6654.08,TP,0.04,55.1289966333337,-4.471003366666666,-0.0,220.89999999999964,0.24956539897389673,50261.15379968056,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251013_161400_inv,SELL,2025-10-13 16:14:00+00:00,2025-10-13 16:16:00+00:00,2025-10-14 04:31:00+00:00,6658.63,6799.88,6621.13,6621.13,TP,0.03,55.881610504166666,-0.3683894958333334,-0.0,211.875,0.2637480141789577,50317.035410184726,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251014_143600_inv,SELL,2025-10-14 14:36:00+00:00,2025-10-14 14:38:00+00:00,2025-10-17 07:14:00+00:00,6619.38,6901.13,6552.53,6552.53,TP,0.01,33.05673611527796,-0.36826388472222227,-0.0,140.875,0.23465296266390742,50350.092146300005,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251017_180800_inv,SELL,2025-10-17 18:08:00+00:00,2025-10-17 18:10:00+00:00,2025-10-27 23:25:00+00:00,6658.63,6884.38,6604.38,6884.38,SL,0.02,-228.49075058055556,-2.740750580555555,-0.0,225.75,-1.0121406448751076,50121.60139571945,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251028_170100_inv,SELL,2025-10-28 17:01:00+00:00,2025-10-28 17:02:00+00:00,2025-10-29 18:36:00+00:00,6895.5,6986.38,6872.63,6872.63,TP,0.05,56.53827358333306,-0.6367264166666667,-0.0,227.20000000000027,0.2488480351379093,50178.139669302785,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251030_031500_inv,SELL,2025-10-30 03:15:00+00:00,2025-10-30 03:16:00+00:00,2025-10-30 04:09:00+00:00,6919.65,6983.78,6903.78,6903.78,TP,0.07,55.544999999999625,0.0,-0.0,224.4550000000004,0.2474660845158251,50233.684669302784,False,False
