task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250922_134900_inv,SELL,2025-09-22 13:49:00+00:00,2025-09-22 13:50:00+00:00,2025-09-24 00:00:00+00:00,45556.01,45933.49,45458.49,45458.49,TP,9.73,60.00310680661864,-4.277354396250994,-0.0,248.31020518540788,0.2416457541961097,50060.00310680662,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250925_140100_inv,SELL,2025-09-25 14:01:00+00:00,2025-09-25 14:02:00+00:00,2025-09-26 09:01:00+00:00,45451.01,46238.41,45251.01,45251.01,TP,4.71,61.87164486271158,-1.0197573084438274,-0.0,249.110266261856,0.248370513954147,50121.874751669326,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250926_134800_inv,SELL,2025-09-26 13:48:00+00:00,2025-09-26 13:50:00+00:00,2025-09-26 14:07:00+00:00,45440.99,45871.09,45333.49,45333.49,TP,8.72,62.58428916692259,0.0,-0.0,250.39537461110058,0.24994187398279555,50184.45904083625,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250930_134600_inv,SELL,2025-09-30 13:46:00+00:00,2025-09-30 13:48:00+00:00,2025-10-01 00:18:00+00:00,44669.99,44974.99,44574.99,44574.99,TP,10.0,62.085956981927666,-2.154885316947786,-0.0,205.27247397077727,0.3024563195490413,50246.54499781818,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251001_142000_inv,SELL,2025-10-01 14:20:00+00:00,2025-10-01 14:22:00+00:00,2025-10-03 00:35:00+00:00,44795.01,45369.99,44632.49,45369.99,SL,6.29,-248.37034756777288,-2.7291690196329177,-0.0,244.5631419857841,-1.0155673727082313,49998.1746502504,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251003_134800_inv,SELL,2025-10-03 13:48:00+00:00,2025-10-03 13:50:00+00:00,2025-10-03 17:51:00+00:00,46055.01,46617.59,45917.49,45917.49,TP,6.57,61.36617039774144,0.0,-0.0,251.04261301890648,0.24444523445555374,50059.540820648144,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251006_144900_inv,SELL,2025-10-06 14:49:00+00:00,2025-10-06 14:50:00+00:00,2025-10-06 23:55:00+00:00,48525.51,49117.91,48380.51,48380.51,TP,6.25,58.851628086779066,-1.4352208984061727,-0.0,251.28612344070316,0.2342016633507679,50118.39244873492,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251007_134700_inv,SELL,2025-10-07 13:47:00+00:00,2025-10-07 13:48:00+00:00,2025-10-07 14:04:00+00:00,48175.51,48450.51,48100.51,48100.51,TP,10.0,49.892564677394674,0.0,-0.0,182.9394038171138,0.2727272727272727,50168.285013412315,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251008_140000_inv,SELL,2025-10-08 14:00:00+00:00,2025-10-08 14:02:00+00:00,2025-10-09 00:23:00+00:00,48014.99,48342.41,47892.51,48342.41,SL,10.0,-216.7100588794456,-2.2418734288504902,-0.0,215.57666857605992,-1.005257481298287,49951.574954532865,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251013_135000_inv,SELL,2025-10-13 13:50:00+00:00,2025-10-13 13:52:00+00:00,2025-10-14 00:01:00+00:00,46739.01,47486.51,46574.01,47486.51,SL,5.17,-254.95403678389613,-1.1331692975573302,-0.0,255.63247054776852,-0.9973460579463217,49696.62091774897,False,False
