task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250919_135000,BUY,2025-09-19 13:50:00+00:00,2025-09-19 13:52:00+00:00,2025-09-19 18:52:00+00:00,3659.8399999999997,3653.93,3682.83,3682.83,TP,0.43,986.4200000000102,0.0,-2.15,254.12999999999374,3.881556683587276,50986.42000000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250922_145300,BUY,2025-09-22 14:53:00+00:00,2025-09-22 14:54:00+00:00,2025-09-23 08:39:00+00:00,3726.0899999999997,3715.98,3766.78,3766.78,TP,0.25,999.0035000000128,-16.9965,-1.25,252.74999999999181,3.9525361028686254,51985.423500000026,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250925_175700,BUY,2025-09-25 17:57:00+00:00,2025-09-25 17:58:00+00:00,2025-09-29 11:15:00+00:00,3743.83,3724.57,3820.12,3820.12,TP,0.13,973.4436399999995,-17.676360000000003,-0.65,250.37999999999693,3.887865005192154,52958.867140000024,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250929_141000,BUY,2025-09-29 14:10:00+00:00,2025-09-29 14:12:00+00:00,2025-09-29 14:20:00+00:00,3830.3399999999997,3818.26,3870.66,3818.26,SL,0.25,-303.2499999999868,0.0,-1.25,301.9999999999868,-1.0041390728476822,52655.61714000004,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250930_134600,BUY,2025-09-30 13:46:00+00:00,2025-09-30 13:48:00+00:00,2025-10-01 07:52:00+00:00,3828.14,3812.32,3879.52,3879.52,TP,0.19,962.3526600000021,-12.917340000000001,-0.95,300.57999999999447,3.2016523388116966,53617.96980000004,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251001_143300,BUY,2025-10-01 14:33:00+00:00,2025-10-01 14:34:00+00:00,2025-10-01 14:46:00+00:00,3877.49,3869.09,3910.19,3869.09,SL,0.32,-270.3999999999884,0.0,-1.6,268.79999999998836,-1.0059523809523814,53347.569800000056,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251003_152700,BUY,2025-10-03 15:27:00+00:00,2025-10-03 15:28:00+00:00,2025-10-06 14:33:00+00:00,3888.7799999999997,3872.42,3953.32,3953.32,TP,0.16,1020.9622400000068,-10.87776,-0.8,261.75999999999476,3.9003753056235757,54368.532040000064,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251007_143500,BUY,2025-10-07 14:35:00+00:00,2025-10-07 14:36:00+00:00,2025-10-07 15:45:00+00:00,3983.83,3970.39,4037.14,3970.39,SL,0.2,-269.8000000000011,0.0,-1.0,268.8000000000011,-1.0037202380952381,54098.73204000006,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251008_140000,BUY,2025-10-08 14:00:00+00:00,2025-10-08 14:02:00+00:00,2025-10-08 22:09:00+00:00,4040.0899999999997,4026.43,4093.13,4026.43,SL,0.2,-314.9915999999971,-40.7916,-1.0,273.1999999999971,-1.152970717423135,53783.74044000007,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251010_150500,BUY,2025-10-10 15:05:00+00:00,2025-10-10 15:06:00+00:00,2025-10-10 16:06:00+00:00,4002.73,3988.53,4058.93,3988.53,SL,0.19,-270.74999999999653,0.0,-0.95,269.79999999999654,-1.0035211267605635,53512.99044000007,False,False
